pret,descriere_zona,an_constructie,compartimentare,confort,etaj,nr_balcoane,nr_bucatarii,nr_bai,nr_camere,nr_garaje,nr_locuri_parcare,regim_inaltime,str_rezistenta,supraf_utila,tip_imobil,zona,lat,long
110840,"Bucuresti, Sector 3, zona Mihai Bravu   270 m (3 minute)",2020.0,decomandat,1,Etaj 3,1,1.0,2.0,3.0,0.0,,S+P+11E,beton,63.7,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
85300,"Bucuresti, Sector 3, zona Mihai Bravu   240 m (3 minute)",2020.0,decomandat,1,Etaj 5,1,1.0,1.0,2.0,0.0,1.0,S+P+7E,beton,57.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
126500,"Bucuresti, zona Mihai Bravu   170 m (2 minute)",2019.0,decomandat,3,Etaj 3,0,1.0,2.0,3.0,0.0,,P+9E,beton,87.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
145000,"Bucuresti, zona Mihai Bravu   160 m (2 minute)",2018.0,decomandat,lux,Etaj 2,0,1.0,2.0,4.0,0.0,,P+9E,beton,98.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
155000,"Bucuresti, Sector 3, zona Mihai Bravu",2017.0,semidecomandat,1,Etaj 4,2,1.0,2.0,3.0,0.0,,P+5E,beton,82.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
92900,"Bucuresti, Sector 3, zona Mihai Bravu   70 m (1 minut)",2020.0,decomandat,lux,Etaj 1,1,1.0,1.0,2.0,0.0,,S+P+11E,beton,70.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
139000,"Bucuresti, zona Mihai Bravu   280 m (4 minute)",2020.0,decomandat,1,Etaj 1,0,,2.0,3.0,0.0,,S+D+P+2E,,84.55,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
98000,"Bucuresti, Sector 3, zona Mihai Bravu   150 m (2 minute)",2019.0,decomandat,lux,Etaj 1,1,1.0,1.0,2.0,0.0,,D+P+2E+M,beton,53.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
115000,"Bucuresti, Sector 4, zona Mihai Bravu   420 m (5 minute)",2009.0,decomandat,1,Etaj 14,1,1.0,1.0,2.0,0.0,,P+25E,beton,57.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
92900,"Bucuresti, Sector 3, zona Mihai Bravu   250 m (3 minute)",2020.0,decomandat,1,Etaj 5,1,1.0,1.0,2.0,0.0,,S+P+11E,beton,55.54,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
80000,"Bucuresti, Sector 3, zona Mihai Bravu   250 m (3 minute)",2020.0,decomandat,1,Etaj 5,1,1.0,1.0,2.0,0.0,,D+P+6E,beton,43.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
87000,"Bucuresti, zona Mihai Bravu",2019.0,decomandat,1,Etaj 2,1,1.0,1.0,2.0,0.0,,P+3E,beton,65.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
133500,"Bucuresti, Sector 3, zona Decebal   610 m (8 minute)",2019.0,decomandat,lux,Etaj 5,1,1.0,2.0,3.0,0.0,,S+P+6E,beton,78.35,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
139500,"Bucuresti, Sector 3, zona Decebal",2019.0,decomandat,lux,Parter,1,1.0,2.0,3.0,0.0,,S+P+3E,beton,104.7,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
90450,"Bucuresti, Sector 3, zona Decebal   580 m (7 minute)",2019.0,decomandat,lux,Etaj 1,1,1.0,1.0,2.0,0.0,,S+P+3E,beton,54.0,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
235000,"Bucuresti, Sector 3, zona Decebal   650 m (8 minute)",2010.0,decomandat,lux,Etaj 6,1,1.0,3.0,4.0,1.0,1.0,S+P+7E,beton,205.0,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
165000,"Bucuresti, Sector 3, zona Decebal   580 m (7 minute)",2019.0,decomandat,1,Etaj 3,1,1.0,2.0,3.0,0.0,,D+P+3E,beton,100.0,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
95000,"Bucuresti, Sector 3, zona Decebal   570 m (7 minute)",2019.0,decomandat,1,Etaj 1,1,1.0,1.0,2.0,0.0,,D+P+3E,beton,55.0,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
165000,"Bucuresti, Sector 3, zona Decebal   580 m (7 minute)",2019.0,decomandat,1,Etaj 3,1,1.0,2.0,3.0,0.0,,D+P+3E,beton,100.0,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
97000,"Bucuresti, Sector 3, zona Decebal   610 m (8 minute)",2019.0,decomandat,lux,Etaj 1,1,1.0,1.0,2.0,0.0,,S+P+6E,beton,56.75,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
240000,"Bucuresti, Sector 3, zona Decebal",1990.0,decomandat,1,Etaj 5,3,,2.0,3.0,0.0,1.0,P+8E,beton,105.0,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
240000,"Bucuresti, Sector 3, zona Decebal",1990.0,decomandat,1,Etaj 5,3,,2.0,3.0,0.0,1.0,P+8E,beton,105.0,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
129000,"Bucuresti, Sector 3, zona Decebal   640 m (8 minute)",1992.0,decomandat,1,Etaj 4,1,1.0,2.0,3.0,0.0,,P+8E,beton,73.0,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
137000,"Bucuresti, Sector 3, zona Decebal   710 m (9 minute)",2008.0,decomandat,1,Etaj 8,1,1.0,1.0,2.0,0.0,,P+10E,beton,81.33,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
158500,"Bucuresti, Sector 3, zona Decebal",2019.0,decomandat,lux,Etaj 3,2,1.0,2.0,4.0,0.0,,S+P+3E,beton,119.8,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
112000,"Bucuresti, zona Decebal",1989.0,semidecomandat,1,Etaj 3,2,1.0,1.0,2.0,0.0,,P+4E,altele,57.0,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
