pret,descriere_zona,an_constructie,compartimentare,confort,etaj,nr_balcoane,nr_bucatarii,nr_bai,nr_camere,nr_garaje,nr_locuri_parcare,regim_inaltime,str_rezistenta,supraf_constr,supraf_utila,supraf_utila_totala,tip_imobil,zona,lat,long
92900,"Bucuresti, Sector 3, zona Mihai Bravu   70 m (1 minut)",2020,decomandat,lux,Etaj 1,1,1,1,2,,,S+P+11E,beton,81,70,70,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
139000,"Bucuresti, zona Mihai Bravu   280 m (4 minute)",2020,decomandat,1,Etaj 1,,,2,3,,,S+D+P+2E,,101.46,84.55,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
98000,"Bucuresti, Sector 3, zona Mihai Bravu   150 m (2 minute)",2019,decomandat,lux,Etaj 1,1,1,1,2,,,D+P+2E+M,beton,87,53,67,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
85000,"Bucuresti, Sector 3, zona Mihai Bravu   240 m (3 minute)",,semidecomandat,1,Etaj 4,,1,1,3,,,P+8E,,,,62,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
115000,"Bucuresti, Sector 4, zona Mihai Bravu   420 m (5 minute)",2009,decomandat,1,Etaj 14,1,1,1,2,,,P+25E,beton,90,57,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
92900,"Bucuresti, Sector 3, zona Mihai Bravu   250 m (3 minute)",2020,decomandat,1,Etaj 5,1,1,1,2,,,S+P+11E,beton,62,55.54,55.54,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
80000,"Bucuresti, Sector 3, zona Mihai Bravu   250 m (3 minute)",2020,decomandat,1,Etaj 5,1,1,1,2,,,D+P+6E,beton,92,43,86,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
87000,"Bucuresti, zona Mihai Bravu",2019,decomandat,1,Etaj 2,1,1,1,2,,,P+3E,beton,65,65,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
133500,"Bucuresti, Sector 3, zona Decebal   610 m (8 minute)",2019,decomandat,lux,Etaj 5,1 (închise),1,2,3,,,S+P+6E,beton,90,78.35,78.35,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
139500,"Bucuresti, Sector 3, zona Decebal",2019,decomandat,lux,Parter,1,1,2,3,,,S+P+3E,beton,104.7,104.7,104.7,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
90450,"Bucuresti, Sector 3, zona Decebal   580 m (7 minute)",2019,decomandat,lux,Etaj 1,1,1,1,2,,,S+P+3E,beton,66,54,54,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
235000,"Bucuresti, Sector 3, zona Decebal   650 m (8 minute)",2010,decomandat,lux,Etaj 6,1,1,3,4,1,1,S+P+7E,beton,,205,205,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
165000,"Bucuresti, Sector 3, zona Decebal   580 m (7 minute)",2019,decomandat,1,Etaj 3,1,1,2,3,,,D+P+3E,beton,130,100,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
95000,"Bucuresti, Sector 3, zona Decebal   570 m (7 minute)",2019,decomandat,1,Etaj 1,1,1,1,2,,,D+P+3E,beton,62,55,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
165000,"Bucuresti, Sector 3, zona Decebal   580 m (7 minute)",2019,decomandat,1,Etaj 3,1,1,2,3,,,D+P+3E,beton,130,100,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
97000,"Bucuresti, Sector 3, zona Decebal   610 m (8 minute)",2019,decomandat,lux,Etaj 1,1 (închise),1,1,2,,,S+P+6E,beton,66,56.75,56.75,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
240000,"Bucuresti, Sector 3, zona Decebal",1990,decomandat,1,Etaj 5,3 (închise),,2,3,,1,P+8E,beton,120,105,110,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
240000,"Bucuresti, Sector 3, zona Decebal",1990,decomandat,1,Etaj 5,3 (închise),,2,3,,1,P+8E,beton,120,105,110,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
129000,"Bucuresti, Sector 3, zona Decebal   640 m (8 minute)",1992,decomandat,1,Etaj 4,1,1,2,3,,,P+8E,beton,77,73,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
137000,"Bucuresti, Sector 3, zona Decebal   710 m (9 minute)",2008,decomandat,1,Etaj 8,1,1,1,2,,,P+10E,beton,90,81.33,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
158500,"Bucuresti, Sector 3, zona Decebal",2019,decomandat,lux,Etaj 3,2,1,2,4,,,S+P+3E,beton,143.76,119.8,119.8,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
112000,"Bucuresti, zona Decebal",1989,semidecomandat,1,Etaj 3,2,1,1,2,,,P+4E,altele,67,57,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
136000,"Bucuresti, Sector 3, zona Decebal   610 m (8 minute)",2019,decomandat,lux,Etaj 5,1 (închise),1,2,3,,,S+P+6E,beton,92,79.85,79.85,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
158500,"Bucuresti, Sector 3, zona Decebal",2019,decomandat,lux,Etaj 3,2,1,2,4,,,S+P+3E,beton,143.76,119.8,119.8,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
112000,"Bucuresti, zona Decebal",1989,semidecomandat,1,Etaj 3,2,1,1,2,,,P+4E,altele,67,57,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
127310,"Bucuresti, Sector 2, zona Decebal",2021,semidecomandat,1,Etaj 3,1,1,2,3,,,S+P+5E,beton,110.7,84.2,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
199000,"Bucuresti, zona Decebal",2018,decomandat,1,Etaj 3,2,1,2,3,,,P+6E,beton,138.4,111.89,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
85000,"Bucuresti, zona Decebal",2018,decomandat,1,Etaj 5,1,1,1,1,,,P+6E,beton,59.02,47.19,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
